"","reporting_Counties","total_Population_Estimate","10_Through_Upper_Age_Population_Estimate","0_Through_Upper_Age_Population_Estimate","petition","non_Petition","year","per_100k_Rate"
"336","Fremont",7000,"700","1,600",12,NA,2018,NA
"337","Greene",9000,"900","2,100",8,23,2018,344.444444444444
"338","Grundy",12300,"1,400","2,800",NA,28,2018,NA
"339","Guthrie",10700,"1,200","2,400",13,21,2018,317.757009345794
"340","Hamilton",15000,"1,600","3,400",NA,26,2018,NA
"341","Hancock",10700,"1,100","2,300",NA,20,2018,NA
"342","Hardin",16900,"1,600","3,400",16,93,2018,644.970414201183
"343","Harrison",14100,"1,500","3,300",17,17,2018,241.13475177305
"344","Henry",20100,"2,000","4,300",33,95,2018,636.81592039801
"345","Howard",9200,"1,100","2,300",0,25,2018,271.739130434783
"346","Humboldt",9500,"1,100","2,200",NA,19,2018,NA
"347","Ida",6800,"800","1,700",NA,8,2018,NA
"348","Iowa",16100,"1,700","3,800",12,16,2018,173.913043478261
"349","Jackson",19400,"2,100","4,300",NA,32,2018,NA
"350","Jasper",37100,"4,000","8,300",33,86,2018,320.754716981132
"351","Jefferson",18400,"1,300","2,900",15,25,2018,217.391304347826
"352","Johnson",151300,"12,800","30,200",123,279,2018,265.697290152016
"353","Jones",20700,"2,200","4,400",NA,50,2018,NA
"354","Keokuk",10200,"1,100","2,300",6,19,2018,245.098039215686
"355","Kossuth",14900,"1,500","3,300",8,20,2018,187.919463087248
"356","Lee",34100,"3,200","7,300",50,99,2018,436.950146627566
"357","Linn",225900,"23,800","52,500",284,843,2018,498.893315626383
"358","Louisa",11200,"1,200","2,500",16,22,2018,339.285714285714
"359","Lucas",8600,"900","2,000",8,30,2018,441.860465116279
"360","Lyon",11800,"1,500","3,300",NA,19,2018,NA
"361","Madison",16200,"2,000","4,000",14,62,2018,469.135802469136
"362","Mahaska",22000,"2,400","5,300",15,62,2018,350
"363","Marion",33400,"3,800","7,900",22,88,2018,329.341317365269
"364","Marshall",40000,"4,600","10,100",44,163,2018,517.5
"365","Mills",15100,"1,700","3,600",18,35,2018,350.993377483444
"366","Mitchell",10600,"1,200","2,500",NA,13,2018,NA
"367","Monona",8700,"900","1,900",6,10,2018,183.908045977011
"368","Monroe",7800,"900","1,800",9,23,2018,410.25641025641
"369","Montgomery",10000,"1,100","2,300",13,22,2018,350
"370","Muscatine",42900,"5,000","10,700",47,118,2018,384.615384615385
"371","O'Brien",13800,"1,500","3,300",11,32,2018,311.594202898551
"372","Osceola",6000,"700","1,400",10,11,2018,350
"373","Page",15200,"1,400","2,900",5,26,2018,203.947368421053
"374","Palo Alto",8900,"900","2,000",7,20,2018,303.370786516854
"375","Plymouth",25100,"3,000","6,300",10,42,2018,207.171314741036
"376","Pocahontas",6700,"700","1,500",NA,23,2018,NA
"377","Polk",487200,"52,900","121,300",456,NA,2018,NA
"378","Pottawattamie",93500,"10,000","22,000",116,326,2018,472.727272727273
"379","Poweshiek",18700,"1,700","3,600",NA,30,2018,NA
"380","Ringgold",5000,"600","1,200",NA,8,2018,NA
"381","Sac",9700,"1,000","2,200",NA,13,2018,NA
"382","Scott",173300,"18,700","41,100",384,414,2018,460.473167916907
"383","Shelby",11600,"1,300","2,600",NA,10,2018,NA
"384","Sioux",34900,"4,300","9,400",22,33,2018,157.593123209169
"385","Story",98100,"7,300","16,200",39,158,2018,200.815494393476
"386","Tama",16900,"1,900","4,100",16,51,2018,396.449704142012
"387","Taylor",6200,"700","1,500",0,NA,2018,NA
"388","Union",12400,"1,300","2,700",36,50,2018,693.548387096774
"389","Van Buren",7000,"700","1,600",NA,24,2018,NA
"390","Wapello",35200,"3,500","7,900",104,251,2018,1008.52272727273
"391","Warren",51100,"6,000","12,700",45,123,2018,328.767123287671
"392","Washington",22100,"2,500","5,500",20,94,2018,515.837104072398
"393","Wayne",6400,"700","1,600",NA,11,2018,NA
"394","Webster",36300,"3,600","7,900",53,156,2018,575.757575757576
"395","Winnebago",10500,"1,100","2,300",5,27,2018,304.761904761905
"396","Winneshiek",20000,"1,900","3,700",7,22,2018,145
"397","Woodbury",102500,"12,100","26,700",86,562,2018,632.19512195122
"398","Worth",7500,"700","1,500",0,11,2018,146.666666666667
"399","Wright",12700,"1,400","3,000",9,26,2018,275.590551181102
"400","Statewide",3156100,"331,400","730,800",NA,NA,2018,NA
