"","name","year","unemprate"
"252","Butler",2009,6.56666666666667
"253","Butler",2010,6.15833333333333
"254","Butler",2011,5.125
"255","Butler",2012,4.54166666666667
"256","Butler",2013,4.525
"257","Butler",2014,4.21666666666667
"258","Butler",2015,4.325
"259","Butler",2016,4.325
"260","Butler",2017,3.575
"261","Butler",2018,2.81666666666667
"262","Butler",2019,3.225
"263","Butler",2020,4.66666666666667
"264","Butler",2021,4.18333333333333
"265","Calhoun",2000,2.83333333333333
"266","Calhoun",2001,3.28333333333333
"267","Calhoun",2002,3.59166666666667
"268","Calhoun",2003,4.19166666666667
"269","Calhoun",2004,4.25
"270","Calhoun",2005,4.01666666666667
"271","Calhoun",2006,3.35833333333333
"272","Calhoun",2007,3.25833333333333
"273","Calhoun",2008,3.475
"274","Calhoun",2009,5.13333333333333
"275","Calhoun",2010,6.1
"276","Calhoun",2011,5.8
"277","Calhoun",2012,5.55
"278","Calhoun",2013,5.19166666666667
"279","Calhoun",2014,4.83333333333333
"280","Calhoun",2015,4.275
"281","Calhoun",2016,3.75833333333333
"282","Calhoun",2017,3.04166666666667
"283","Calhoun",2018,2.575
"284","Calhoun",2019,2.56666666666667
"285","Calhoun",2020,4.09166666666667
"286","Calhoun",2021,4.05
"287","Carroll",2000,2.28333333333333
"288","Carroll",2001,2.54166666666667
"289","Carroll",2002,2.89166666666667
"290","Carroll",2003,2.83333333333333
"291","Carroll",2004,2.93333333333333
"292","Carroll",2005,3.01666666666667
"293","Carroll",2006,2.6
"294","Carroll",2007,2.65833333333333
"295","Carroll",2008,2.83333333333333
"296","Carroll",2009,4.21666666666667
"297","Carroll",2010,4.38333333333333
"298","Carroll",2011,4.125
"299","Carroll",2012,3.76666666666667
"300","Carroll",2013,3.36666666666667
"301","Carroll",2014,3.15833333333333
"302","Carroll",2015,2.59166666666667
"303","Carroll",2016,2.54166666666667
"304","Carroll",2017,2.275
"305","Carroll",2018,1.9
"306","Carroll",2019,1.95833333333333
"307","Carroll",2020,3.96666666666667
"308","Carroll",2021,3.21666666666667
"309","Cass",2000,3.66666666666667
"310","Cass",2001,3.95833333333333
"311","Cass",2002,4.50833333333333
"312","Cass",2003,5.00833333333333
"313","Cass",2004,4.86666666666667
"314","Cass",2005,4.65
"315","Cass",2006,4.23333333333333
"316","Cass",2007,4.14166666666667
"317","Cass",2008,4.575
"318","Cass",2009,6.75
"319","Cass",2010,6.36666666666667
"320","Cass",2011,6.05
"321","Cass",2012,5.21666666666667
"322","Cass",2013,5.06666666666667
"323","Cass",2014,4.33333333333333
"324","Cass",2015,3.59166666666667
"325","Cass",2016,3.225
"326","Cass",2017,3.56666666666667
"327","Cass",2018,2.71666666666667
"328","Cass",2019,2.84166666666667
"329","Cass",2020,3.89166666666667
"330","Cass",2021,3.91666666666667
"331","Cedar",2000,2.3
"332","Cedar",2001,2.84166666666667
"333","Cedar",2002,3.525
"334","Cedar",2003,3.74166666666667
"335","Cedar",2004,4.025
"336","Cedar",2005,3.76666666666667
"337","Cedar",2006,3.21666666666667
"338","Cedar",2007,3.24166666666667
"339","Cedar",2008,3.625
"340","Cedar",2009,5.58333333333333
"341","Cedar",2010,5.475
"342","Cedar",2011,5.25
"343","Cedar",2012,4.55833333333333
"344","Cedar",2013,4.31666666666667
"345","Cedar",2014,3.85833333333333
"346","Cedar",2015,3.4
"347","Cedar",2016,3.29166666666667
"348","Cedar",2017,2.88333333333333
"349","Cedar",2018,2.475
"350","Cedar",2019,2.5
"351","Cedar",2020,4.36666666666667
"352","Cedar",2021,4.2
