"","name","year","child_abuse_under_3","child_abuse_3_and_4","child_abuse_5"
"198","Wright",2018,321.637426900585,705.128205128205,937.5
"199","Adair",2017,447.115384615385,528.409090909091,1897.95918367347
"200","Adams",2017,552.380952380952,479.338842975207,682.352941176471
"201","Allamakee",2017,261.224489795918,339.522546419098,757.396449704142
"202","Appanoose",2017,475.161987041037,836.501901140684,630.372492836676
"203","Audubon",2017,472.527472527473,716.666666666667,1535.71428571429
"204","Benton",2017,329.281767955801,495.840266222962,922.600619195046
"205","Black Hawk",2017,333.002776675922,498.219584569733,1146.07508532423
"206","Boone",2017,267.803410230692,452.542372881356,631.205673758865
"207","Bremer",2017,205.442176870748,224.702380952381,408.108108108108
"208","Buchanan",2017,191.930207197383,335.238095238095,520.710059171598
"209","Buena Vista",2017,274.285714285714,350.36496350365,747.663551401869
"210","Butler",2017,308.045977011494,353.562005277045,680.203045685279
"211","Calhoun",2017,261.538461538462,517.766497461929,662.337662337662
"212","Carroll",2017,250.34965034965,324.275362318841,581.168831168831
"213","Cass",2017,434.968017057569,755.555555555556,1146.06741573034
"214","Cedar",2017,319.467554076539,531.85595567867,1090.90909090909
"215","Cerro Gordo",2017,426.888426888427,689.03803131991,1278.00829875519
"216","Cherokee",2017,371.191135734072,470.175438596491,647.342995169082
"217","Chickasaw",2017,309.692671394799,476.363636363636,658.291457286432
"218","Clarke",2017,429.936305732484,470.383275261324,5625
"219","Clay",2017,452,416.974169741697,1202.12765957447
"220","Clayton",2017,253.187613843352,303.493449781659,576.763485477178
"221","Clinton",2017,533.682145192937,628.175519630485,1406.89655172414
"222","Crawford",2017,264.406779661017,248.012718600954,611.764705882353
"223","Dallas",2017,122.43306472576,179.019384264538,336.669049320944
"224","Davis",2017,138.067061143984,295.35864978903,414.201183431953
"225","Decatur",2017,524.444444444444,556.603773584906,944
"226","Delaware",2017,220.458553791887,230.627306273063,647.668393782383
"227","Des Moines",2017,455.696202531646,735.483870967742,1624.70308788599
"228","Dickinson",2017,344.339622641509,358.722358722359,918.238993710692
"229","Dubuque",2017,289.466630930046,462.130937098845,815.70996978852
"230","Emmet",2017,715.827338129496,861.471861471862,2653.33333333333
"231","Fayette",2017,312.01044386423,651.226158038147,838.59649122807
"232","Floyd",2017,439.635535307517,469.586374695864,660.958904109589
